Country,Other	TotalCases	NewCases	TotalDeaths	NewDeaths	TotalRecovered	NewRecovered	ActiveCases	Serious,Critical	Tot Cases/1M pop	Deaths/1M pop	TotalTests	Tests/1M pop	Population	Continent
USA	83865884	+81115	1025538	+365	81060767	+37935	1779579	1745	250644	3065	1013627154	3029354	334601743	North America
India	43110586	+2897	524157	+54	42566935	+2986	19494	698	30680	373	841514701	598874	1405161912	Asia
Brazil	30594388	+20143	664443	+195	29681120	+29102	248825	8318	142061	3085	63776166	296136	215361137	South America
France	29021224	+56449	146979	+123	27825154	+155579	1049091	1364	442793	2243	269816888	4116745	65541322	Europe
Germany	25490156	+104449	137222	+202	23536900	+163700	1816034	1279	302444	1628	122332384	1451488	84280690	Europe
UK	22144628	+4341	176424	N/A	21589987	+31555	378217	253	323056	2574	519264096	7575273	68547249	Europe
Russia	18237227	+4531	377150	+101	17614371	+5014	245706	2300	124869	2582	273400000	1871955	146050485	Europe
S. Korea	17614895	+49896	23462	+62	N/A	N/A	N/A	398	343029	457	15804065	307766	51350995	Asia
Italy	16873052	+56449	164731	+158	15624915	+76824	1083406	358	279832	2732	216566431	3591662	60296991	Europe
Turkey	15046779	+1858	98861	+7	14944393	+1511	3525	975	174918	1149	160096045	1861110	86021816	Asia
Spain	12058888	+12458	105123	+62	11522364	+16216	431401	339	257733	2247	471036328	10067384	46788355	Europe
Vietnam	10681214	+2855	43058	+1	9324934	+2769	1313222	363	107932	435	85806031	867056	98962550	Asia
Argentina	9101319	N/A	128729	N/A	8895999	N/A	76591	372	198006	2801	35716069	777031	45964778	South America
Japan	8133197	+33664	29843	+30	7784155	+36479	319199	158	64673	237	49702654	395223	125758647	Asia
Netherlands	8063023	+1580	22281	+3	7966635	+7168	74107	55	468640	1295	21107399	1226806	17205170	Europe
Iran	7226219	+460	141192	+3	7010698	+2467	74329	836	84039	1642	51582635	599894	85986283	Asia
Australia	6334822	+47946	7565	+49	5983298	+42837	343959	123	243194	290	70112622	2691621	26048475	Australia/Oceania
Colombia	6093645	N/A	139809	N/A	5927076	N/A	26760	342	117437	2694	34560302	666049	51888507	South America
Indonesia	6049141	+456	156416	+20	5886870	+659	5855	2771	21690	561	96701485	346741	278886623	Asia
Poland	6001327	+727	116149	+11	5334972	+39	550206	1125	158892	3075	36178272	957863	37769758	Europe
Mexico	5745652	+424	324465	+2	5044893	+776	376294	4798	43712	2468	15855490	120625	131444511	North America
Ukraine	5006460	N/A	108449	N/A	N/A	N/A	N/A	177	115765	2508	19521252	451393	43246695	Europe
Malaysia	4463740	+2605	35590	+6	4405197	+2014	22953	67	134714	1074	59008611	1780861	33134885	Asia
Thailand	4337568	+6230	29199	+53	4228370	+11132	79999	1496	61855	416	17270775	246286	70124735	Asia
Austria	4189700	+4022	18271	+22	4106651	+5693	64778	79	460321	2007	184388182	20258686	9101685	Europe
Belgium	4102082	N/A	31580	N/A	3903739	+12348	166763	122	351111	2703	33779532	2891304	11683149	Europe
Israel	4097845	+2413	10749	+8	4052605	N/A	34491	150	439400	1153	41373364	4436346	9326000	Asia
Portugal	3935932	N/A	22420	N/A	N/A	N/A	N/A	61	388098	2211	41642475	4106110	10141589	Europe
Czechia	3913364	+867	40233	+3	3866152	+1427	6979	14	364176	3744	55288462	5145114	10745818	Europe
South Africa	3852148	+7523	100559	+26	3685196	+4341	66393	192	63467	1657	24726029	407381	60695163	Africa
Canada	3799360	+4102	39854	+67	3489567	+5262	269939	423	99056	1039	61306765	1598372	38355755	North America
Philippines	3687319	+126	60439	N/A	3623243	+391	3637	289	32839	538	29743235	264890	112285313	Asia
Switzerland	3631881	+1740	13882	N/A	3530433	+9470	87566	78	414032	1583	20927607	2385733	8771982	Europe
Chile	3583227	+1853	57642	+3	3454381	+3462	71204	167	184508	2968	37419745	1926820	19420468	South America
Peru	3570339	+264	212968	+11	N/A	N/A	N/A	254	105558	6296	30100460	889929	33823445	South America
Greece	3371051	+6453	29444	+27	3280545	+7555	61062	196	326378	2851	80771769	7820152	10328670	Europe
Denmark	2973651	+922	6252	+8	2955994	+1350	11405	6	510058	1072	127306349	21836337	5830023	Europe
Romania	2900375	+812	65582	+15	N/A	N/A	N/A	153	152653	3452	22872014	1203803	18999797	Europe
Sweden	2504526	+367	18864	N/A	2474725	N/A	10937	16	245156	1847	18534055	1814212	10216034	Europe
Iraq	2325871	+131	25215	+1	2299451	+125	1205	11	55516	602	18508162	441769	41895563	Asia
Serbia	2010961	+466	16037	+4	1984483	+758	10441	16	231888	1849	9561725	1102582	8672125	Europe
Bangladesh	1952855	+26	29127	N/A	1898063	+265	25665	1273	11643	174	14027750	83632	167731723	Asia
Hungary	1903200	N/A	46266	N/A	1808061	N/A	48873	40	197943	4812	11355462	1181031	9614873	Europe
Slovakia	1785535	+349	19994	+10	1756592	+1392	8949	36	326749	3659	7117625	1302510	5464545	Europe
Jordan	1694216	N/A	14048	N/A	1678941	N/A	1227	124	163047	1352	16670254	1604305	10390950	Asia
Georgia	1655221	N/A	16811	N/A	1637293	N/A	1117	N/A	416411	4229	16920079	4256656	3974970	Asia
Pakistan	1528831	+31	30375	N/A	1494141	N/A	4315	103	6681	133	28263598	123506	228843575	Asia
Ireland	1524555	N/A	7163	N/A	1484188	+1410	33204	32	302488	1421	12125378	2405802	5040057	Europe
